2019-12-06 09:56:03.7006 Info Loading Cardigann definition /app/Jackett/Definitions/torrenthr.yml 
2019-12-06 09:56:03.7026 Info Loading Cardigann definition /app/Jackett/Definitions/torrent-explosiv.yml 
2019-12-06 09:56:03.7061 Info Loading Cardigann definition /app/Jackett/Definitions/freetorrent.yml 
2019-12-06 09:56:03.7081 Info Loading Cardigann definition /app/Jackett/Definitions/nethd.yml 
2019-12-06 09:56:03.7081 Info Loading Cardigann definition /app/Jackett/Definitions/rutor.yml 
2019-12-06 09:56:03.7081 Info Loading Cardigann definition /app/Jackett/Definitions/bigtorrent.yml 
2019-12-06 09:56:03.7122 Info Loading Cardigann definition /app/Jackett/Definitions/eniahd.yml 
2019-12-06 09:56:03.7155 Info Loading Cardigann definition /app/Jackett/Definitions/booktracker.yml 
2019-12-06 09:56:03.7155 Info Loading Cardigann definition /app/Jackett/Definitions/retroflix.yml 
2019-12-06 09:56:03.7178 Info Loading Cardigann definition /app/Jackett/Definitions/rgu.yml 
2019-12-06 09:56:03.7178 Info Loading Cardigann definition /app/Jackett/Definitions/cpasbienclone.yml 
2019-12-06 09:56:03.7213 Info Loading Cardigann definition /app/Jackett/Definitions/linkomanija.yml 
2019-12-06 09:56:03.7213 Info Loading Cardigann definition /app/Jackett/Definitions/focusx.yml 
2019-12-06 09:56:03.7283 Info Loading Cardigann definition /app/Jackett/Definitions/inperil.yml 
2019-12-06 09:56:03.7283 Info Loading Cardigann definition /app/Jackett/Definitions/insanetracker.yml 
2019-12-06 09:56:03.7318 Info Loading Cardigann definition /app/Jackett/Definitions/eztv.yml 
2019-12-06 09:56:03.7318 Info Loading Cardigann definition /app/Jackett/Definitions/mteamtp.yml 
2019-12-06 09:56:03.7351 Info Loading Cardigann definition /app/Jackett/Definitions/torrentproject2.yml 
2019-12-06 09:56:03.7351 Info Loading Cardigann definition /app/Jackett/Definitions/alexfilm.yml 
2019-12-06 09:56:03.7377 Info Loading Cardigann definition /app/Jackett/Definitions/xtremezone.yml 
2019-12-06 09:56:03.7377 Info Loading Cardigann definition /app/Jackett/Definitions/seedfile.yml 
2019-12-06 09:56:03.7437 Info Loading Cardigann definition /app/Jackett/Definitions/firebit.yml 
2019-12-06 09:56:03.7447 Info Loading Cardigann definition /app/Jackett/Definitions/mononokebt.yml 
2019-12-06 09:56:03.7447 Info Loading Cardigann definition /app/Jackett/Definitions/scenepalace.yml 
2019-12-06 09:56:03.7447 Info Loading Cardigann definition /app/Jackett/Definitions/3dtorrents.yml 
2019-12-06 09:56:03.7485 Info Loading Cardigann definition /app/Jackett/Definitions/2fast4you.yml 
2019-12-06 09:56:03.7515 Info Loading Cardigann definition /app/Jackett/Definitions/newstudiol.yml 
2019-12-06 09:56:03.7515 Info Loading Cardigann definition /app/Jackett/Definitions/hddolby.yml 
2019-12-06 09:56:03.7543 Info Loading Cardigann definition /app/Jackett/Definitions/torrentdownloads.yml 
2019-12-06 09:56:03.7543 Info Loading Cardigann definition /app/Jackett/Definitions/btnext.yml 
2019-12-06 09:56:03.7589 Info Loading Cardigann definition /app/Jackett/Definitions/isohunt2.yml 
2019-12-06 09:56:03.7589 Info Loading Cardigann definition /app/Jackett/Definitions/scenefz.yml 
2019-12-06 09:56:03.7620 Info Loading Cardigann definition /app/Jackett/Definitions/uhdbits.yml 
2019-12-06 09:56:03.7620 Info Loading Cardigann definition /app/Jackett/Definitions/magnetdl.yml 
2019-12-06 09:56:03.7645 Info Loading Cardigann definition /app/Jackett/Definitions/torrent-turk.yml 
2019-12-06 09:56:03.7645 Info Loading Cardigann definition /app/Jackett/Definitions/polishsource.yml 
2019-12-06 09:56:03.7683 Info Loading Cardigann definition /app/Jackett/Definitions/amigosshare.yml 
2019-12-06 09:56:03.7747 Info Loading Cardigann definition /app/Jackett/Definitions/documentarytorrents.yml 
2019-12-06 09:56:03.7776 Info Loading Cardigann definition /app/Jackett/Definitions/hdbitscom.yml 
2019-12-06 09:56:03.7776 Info Loading Cardigann definition /app/Jackett/Definitions/xwtorrents.yml 
2019-12-06 09:56:03.7814 Info Loading Cardigann definition /app/Jackett/Definitions/peersfm.yml 
2019-12-06 09:56:03.7814 Info Loading Cardigann definition /app/Jackett/Definitions/monova.yml 
2019-12-06 09:56:03.7814 Info Loading Cardigann definition /app/Jackett/Definitions/totheglory.yml 
2019-12-06 09:56:03.7857 Info Loading Cardigann definition /app/Jackett/Definitions/dxp.yml 
2019-12-06 09:56:03.7857 Info Loading Cardigann definition /app/Jackett/Definitions/shareuniversity.yml 
2019-12-06 09:56:03.7894 Info Loading Cardigann definition /app/Jackett/Definitions/greeklegends.yml 
2019-12-06 09:56:03.7912 Info Loading Cardigann definition /app/Jackett/Definitions/sktorrent.yml 
2019-12-06 09:56:03.7912 Info Loading Cardigann definition /app/Jackett/Definitions/torrentfunk.yml 
2019-12-06 09:56:03.7944 Info Loading Cardigann definition /app/Jackett/Definitions/btdigg.yml 
2019-12-06 09:56:03.7944 Info Loading Cardigann definition /app/Jackett/Definitions/audionews.yml 
2019-12-06 09:56:03.8037 Info Loading Cardigann definition /app/Jackett/Definitions/hdcenter.yml 
2019-12-06 09:56:03.8053 Info Loading Cardigann definition /app/Jackett/Definitions/yourbittorrent.yml 
2019-12-06 09:56:03.8053 Info Loading Cardigann definition /app/Jackett/Definitions/zooqle.yml 
2019-12-06 09:56:03.8076 Info Loading Cardigann definition /app/Jackett/Definitions/movcr.yml 
2019-12-06 09:56:03.8076 Info Loading Cardigann definition /app/Jackett/Definitions/acgsou.yml 
2019-12-06 09:56:03.8076 Info Loading Cardigann definition /app/Jackett/Definitions/bitturk.yml 
2019-12-06 09:56:03.8123 Info Loading Cardigann definition /app/Jackett/Definitions/btdb.yml 
2019-12-06 09:56:03.8123 Info Loading Cardigann definition /app/Jackett/Definitions/underversel.yml 
2019-12-06 09:56:03.8376 Info Loading Cardigann definition /app/Jackett/Definitions/classix.yml 
2019-12-06 09:56:03.8376 Info Loading Cardigann definition /app/Jackett/Definitions/torrentlt.yml 
2019-12-06 09:56:03.8410 Info Loading Cardigann definition /app/Jackett/Definitions/concertos.yml 
2019-12-06 09:56:03.8410 Info Loading Cardigann definition /app/Jackett/Definitions/concen.yml 
2019-12-06 09:56:03.8410 Info Loading Cardigann definition /app/Jackett/Definitions/hdroute.yml 
2019-12-06 09:56:03.8443 Info Loading Cardigann definition /app/Jackett/Definitions/ilcorsaroblu.yml 
2019-12-06 09:56:03.8443 Info Loading Cardigann definition /app/Jackett/Definitions/takeabyte.yml 
2019-12-06 09:56:03.8496 Info Loading Cardigann definition /app/Jackett/Definitions/kickasstorrent.yml 
2019-12-06 09:56:03.8553 Info Loading Cardigann definition /app/Jackett/Definitions/music-master.yml 
2019-12-06 09:56:03.8553 Info Loading Cardigann definition /app/Jackett/Definitions/puntotorrent.yml 
2019-12-06 09:56:03.8607 Info Loading Cardigann definition /app/Jackett/Definitions/fullmixmusic.yml 
2019-12-06 09:56:03.8617 Info Loading Cardigann definition /app/Jackett/Definitions/nyaa-pantsu.yml 
2019-12-06 09:56:03.8617 Info Loading Cardigann definition /app/Jackett/Definitions/itorrent.yml 
2019-12-06 09:56:03.8646 Info Loading Cardigann definition /app/Jackett/Definitions/Bittorrentfiles.yml 
2019-12-06 09:56:03.8678 Info Loading Cardigann definition /app/Jackett/Definitions/uniongang.yml 
2019-12-06 09:56:03.8678 Info Loading Cardigann definition /app/Jackett/Definitions/backups.yml 
2019-12-06 09:56:03.8713 Info Loading Cardigann definition /app/Jackett/Definitions/rns.yml 
2019-12-06 09:56:03.8751 Info Loading Cardigann definition /app/Jackett/Definitions/bitme.yml 
2019-12-06 09:56:03.8751 Info Loading Cardigann definition /app/Jackett/Definitions/desitorrents.yml 
2019-12-06 09:56:03.8813 Info Loading Cardigann definition /app/Jackett/Definitions/cinematik.yml 
2019-12-06 09:56:03.8813 Info Loading Cardigann definition /app/Jackett/Definitions/gigatorrents.yml 
2019-12-06 09:56:03.8851 Info Loading Cardigann definition /app/Jackett/Definitions/pixelcove.yml 
2019-12-06 09:56:03.8851 Info Loading Cardigann definition /app/Jackett/Definitions/sharewood.yml 
2019-12-06 09:56:03.8904 Info Loading Cardigann definition /app/Jackett/Definitions/proaudiotorrents.yml 
2019-12-06 09:56:03.8920 Info Loading Cardigann definition /app/Jackett/Definitions/efectodoppler.yml 
2019-12-06 09:56:03.8920 Info Loading Cardigann definition /app/Jackett/Definitions/girotorrent.yml 
2019-12-06 09:56:03.8963 Info Loading Cardigann definition /app/Jackett/Definitions/hdreactor.yml 
2019-12-06 09:56:03.8980 Info Loading Cardigann definition /app/Jackett/Definitions/bithorlo.yml 
2019-12-06 09:56:03.8980 Info Loading Cardigann definition /app/Jackett/Definitions/hdme.yml 
2019-12-06 09:56:03.9014 Info Loading Cardigann definition /app/Jackett/Definitions/tapochek.yml 
2019-12-06 09:56:03.9181 Info Loading Cardigann definition /app/Jackett/Definitions/audiobooktorrents.yml 
2019-12-06 09:56:03.9181 Info Loading Cardigann definition /app/Jackett/Definitions/themoviecave.yml 
2019-12-06 09:56:03.9225 Info Loading Cardigann definition /app/Jackett/Definitions/beyond-hd.yml 
2019-12-06 09:56:03.9225 Info Loading Cardigann definition /app/Jackett/Definitions/nostalgic.yml 
2019-12-06 09:56:03.9254 Info Loading Cardigann definition /app/Jackett/Definitions/rockbox.yml 
2019-12-06 09:56:03.9254 Info Loading Cardigann definition /app/Jackett/Definitions/aftershock.yml 
2019-12-06 09:56:03.9285 Info Loading Cardigann definition /app/Jackett/Definitions/theempire.yml 
2019-12-06 09:56:03.9285 Info Loading Cardigann definition /app/Jackett/Definitions/ettv.yml 
2019-12-06 09:56:03.9325 Info Loading Cardigann definition /app/Jackett/Definitions/limetorrents.yml 
2019-12-06 09:56:03.9350 Info Loading Cardigann definition /app/Jackett/Definitions/hd4fans.yml 
2019-12-06 09:56:03.9350 Info Loading Cardigann definition /app/Jackett/Definitions/bitru.yml 
2019-12-06 09:56:03.9384 Info Loading Cardigann definition /app/Jackett/Definitions/generationfree.yml 
2019-12-06 09:56:03.9425 Info Loading Cardigann definition /app/Jackett/Definitions/nnm-club.yml 
2019-12-06 09:56:03.9707 Info Loading Cardigann definition /app/Jackett/Definitions/skytorrentsclone.yml 
2019-12-06 09:56:03.9718 Info Loading Cardigann definition /app/Jackett/Definitions/metaltracker.yml 
2019-12-06 09:56:03.9718 Info Loading Cardigann definition /app/Jackett/Definitions/desireleasers.yml 
2019-12-06 09:56:03.9746 Info Loading Cardigann definition /app/Jackett/Definitions/shokweb.yml 
